token_text,ent_iob
but,O
they,O
mishandle,O
its,O
execution,O
when,O
they,O
forget,O
to,O
hide,O
inside,O
it,O
",",O
and,O
are,O
forced,O
to,O
flee,O
when,O
the,O
Rabbit,O
is,O
flung,O
back,O
at,O
them,O
.,O
Arthur,B
decides,O
that,O
the,O
knights,O
should,O
go,O
their,O
separate,O
ways,O
to,O
search,O
for,O
clues,O
to,O
the,O
Grail,O
's,O
whereabouts,O
.,O
A,O
modern,O
-,O
day,O
historian,O
filming,O
a,O
documentary,O
describing,O
the,O
Arthurian,O
legends,O
is,O
abruptly,O
killed,O
by,O
an,O
unknown,O
knight,O
on,O
horseback,O
",",O
triggering,O
a,O
police,O
investigation,O
.,O
"

",O
On,O
the,O
knights,O
',O
travels,O
",",O
Arthur,B
and,O
Bedevere,B
are,O
given,O
directions,O
by,O
an,O
old,O
man,O
in,O
Scene,O
24,O
and,O
attempt,O
to,O
satisfy,O
the,O
strange,O
requests,O
of,O
the,O
dreaded,O
Knights,O
Who,O
Say,O
"""",O
Ni,O
!,O
"""",O
.,O
Sir,B
Robin,I
avoids,O
a,O
fight,O
with,O
a,O
Three,B
-,I
Headed,I
Knight,I
by,O
running,O
away,O
while,O
the,O
heads,O
are,O
arguing,O
.,O
Sir,B
Galahad,I
is,O
led,O
by,O
a,O
grail,O
-,O
shaped,O
beacon,O
to,O
Castle,O
Anthrax,O
",",O
populated,O
by,O
160,O
nubile,O
young,O
women,O
",",O
but,O
to,O
his,O
chagrin,O
is,O
"""",O
rescued,O
"""",O
by,O
Lancelot,B
.,O
Lancelot,B
",",O
after,O
receiving,O
an,O
arrow,O
-,O
shot,O
note,O
from,O
Swamp,O
Castle,O
believed,O
to,O
be,O
from,O
a,O
lady,O
being,O
forced,O
to,O
marry,O
against,O
her,O
will,O
",",O
rushes,O
to,O
the,O
castle,O
and,O
slaughters,O
nearly,O
the,O
entire,O
wedding,O
party,O
",",O
only,O
to,O
discover,O
that,O
the,O
note,O
was,O
sent,O
by,O
an,O
effeminate,O
prince,O
whose,O
father,O
had,O
arranged,O
the,O
marriage,O
.,O
"

",O
Arthur,B
and,O
his,O
knights,O
regroup,O
",",O
and,O
are,O
joined,O
by,O
three,O
new,O
knights,O
",",O
as,O
well,O
as,O
Brother,B
Maynard,I
and,O
his,O
monk,O
brethren,O
.,O
They,O
meet,O
Tim,B
the,I
Enchanter,I
",",O
who,O
directs,O
them,O
to,O
a,O
cave,O
where,O
the,O
location,O
of,O
the,O
Grail,O
is,O
said,O
to,O
be,O
written,O
.,O
The,O
entrance,O
to,O
the,O
cave,O
is,O
guarded,O
by,O
the,O
Rabbit,O
of,O
Caerbannog,O
.,O
Fatally,O
underestimating,O
its,O
lethal,O
prowess,O
",",O
the,O
knights,O
attack,O
the,O
Rabbit,O
",",O
which,O
easily,O
kills,O
Sirs,B
Bors,I
",",O
Gawain,B
and,O
Ector,B
.,O
Arthur,B
uses,O
the,O
"""",O
Holy,O
Hand,O
Grenade,O
of,O
Antioch,O
"""",O
",",O
provided,O
by,O
Brother,B
Maynard,I
",",O
to,O
destroy,O
the,O
creature,O
.,O
Inside,O
the,O
cave,O
",",O
they,O
find,O
an,O
inscription,O
from,O
Joseph,B
of,I
Arimathea,I
",",O
directing,O
them,O
to,O
the,O
Castle,O
of,O
Aarrgh,O
(,O
the,O
name,O
presumably,O
the,O
result,O
of,O
Joseph,B
dying,O
whilst,O
carving,O
the,O
inscription,O
),O
.,O
"

",O
After,O
barely,O
escaping,O
a,O
giant,O
animated,O
monster,O
that,O
devours,O
Brother,B
Maynard,I
(,O
the,O
animator,O
has,O
a,O
heart,O
attack,O
",",O
which,O
ends,O
the,O
beast,O
's,O
existence,O
),O
",",O
they,O
arrive,O
at,O
the,O
Gorge,O
of,O
Eternal,O
Peril,O
.,O
As,O
they,O
approach,O
the,O
Bridge,O
of,O
Death,O
",",O
the,O
man,O
from,O
Scene,O
24,O
challenges,O
them,O
to,O
correctly,O
answer,O
three,O
questions,O
in,O
order,O
to,O
pass,O
-,O
or,O
be,O
cast,O
into,O
the,O
Gorge,O
.,O
Lancelot,B
goes,O
first,O
",",O
easily,O
answers,O
three,O
simple,O
questions,O
",",O
and,O
crosses,O
over,O
.,O
Robin,B
is,O
surprised,O
by,O
an,O
unexpectedly,O
difficult,O
question,O
",",O
and,O
Galahad,B
misses,O
the,O
answer,O
to,O
an,O
easy,O
one,O
",",O
and,O
both,O
are,O
flung,O
off,O
the,O
bridge,O
.,O
During,O
Arthur,B
's,O
turn,O
",",O
he,O
responds,O
to,O
the,O
bridge,O
-,O
keeper,O
's,O
last,O
question,O
with,O
a,O
question,O
of,O
his,O
own,O
which,O
stumps,O
the,O
bridge,O
-,O
keeper,O
.,O
As,O
a,O
result,O
",",O
the,O
man,O
from,O
Scene,O
24,O
is,O
thrown,O
into,O
the,O
gorge,O
",",O
and,O
Arthur,B
and,O
Bedevere,B
cross,O
.,O
"

",O
When,O
Arthur,B
and,O
Bedevere,B
reach,O
the,O
bridge,O
's,O
end,O
",",O
they,O
can,O
not,O
find,O
Lancelot,B
",",O
unaware,O
he,O
has,O
been,O
arrested,O
by,O
the,O
police,O
investigating,O
the,O
historian,O
's,O
death,O
.,O
Arthur,B
and,O
Bedevere,B
eventually,O
reach,O
the,O
Castle,O
of,O
Aarrgh,O
",",O
only,O
to,O
find,O
it,O
occupied,O
by,O
the,O
same,O
French,O
soldiers,O
who,O
taunted,O
them,O
before,O
.,O
After,O
being,O
driven,O
to,O
retreat,O
by,O
showers,O
of,O
manure,O
",",O
they,O
amass,O
a,O
large,O
army,O
of,O
knights,O
and,O
prepare,O
to,O
assault,O
the,O
castle,O
.,O
Just,O
as,O
they,O
are,O
charging,O
in,O
to,O
attack,O
",",O
a,O
large,O
force,O
of,O
police,O
shows,O
up,O
",",O
arrests,O
Arthur,B
and,O
Bedevere,B
for,O
the,O
historian,O
's,O
death,O
",",O
and,O
shuts,O
down,O
the,O
film,O
's,O
production,O
.,O
The,O
movie,O
ends,O
with,O
one,O
of,O
the,O
officers,O
breaking,O
the,O
camera,O
.,O
